"id";"Date.mutation";"Nature.mutation";"Code.postal";"Commune";"Code.departement";"Type.local";"Surface.reelle.bati";"Nombre.pieces.principales";"Surface.terrain";"Valeur.fonciere"
4414;"11/05/2022";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";132;6;4946;130000
4415;"06/05/2022";"Vente";79460;"MAGNE";"79";"Maison";99;4;630;180000
4420;"09/05/2022";"Vente";79180;"CHAURAY";"79";"Maison";82;4;287;150000
4422;"29/04/2022";"Vente";79230;"AIFFRES";"79";"Maison";135;6;403;245000
4423;"29/04/2022";"Vente";79000;"NIORT";"79";"Maison";103;6;393;242000
4425;"28/04/2022";"Vente";79270;"SAINT-SYMPHORIEN";"79";"Maison";106;4;835;152500
4427;"20/05/2022";"Vente";79000;"NIORT";"79";"Appartement";58;3;NA;91000
4428;"24/05/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";110;4;604;185000
4429;"20/05/2022";"Vente";79000;"NIORT";"79";"Maison";198;7;898;469500
4431;"17/05/2022";"Vente";79220;"GERMOND-ROUVRE";"79";"Maison";85;4;619;169000
4432;"23/05/2022";"Vente";79000;"NIORT";"79";"Appartement";38;2;NA;121000
4433;"25/05/2022";"Vente";79000;"NIORT";"79";"Appartement";41;2;NA;107000
4434;"25/05/2022";"Vente";79000;"NIORT";"79";"Appartement";65;4;NA;65000
4435;"20/05/2022";"Vente";79000;"NIORT";"79";"Appartement";38;2;NA;80910
4436;"03/05/2022";"Vente";79410;"SAINT-REMY";"79";"Maison";80;4;512;168000
4437;"03/05/2022";"Vente";79000;"NIORT";"79";"Maison";84;4;150;152500
4438;"25/05/2022";"Vente";79000;"NIORT";"79";"Maison";119;5;249;130000
4439;"24/05/2022";"Vente";79230;"FORS";"79";"Maison";122;5;1048;195000
4442;"20/05/2022";"Vente";79000;"NIORT";"79";"Maison";28;1;27;58000
4443;"25/05/2022";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";85;4;491;162892
4444;"31/05/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";100;4;1630;170000
4445;"30/05/2022";"Vente";79000;"NIORT";"79";"Appartement";67;4;NA;128000
4447;"02/05/2022";"Vente";79000;"NIORT";"79";"Maison";61;3;404;120000
4449;"07/05/2022";"Vente";79260;"LA CRECHE";"79";"Maison";104;4;1006;230000
4451;"16/05/2022";"Vente";79230;"AIFFRES";"79";"Maison";160;5;489;222000
4453;"12/05/2022";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";117;5;771;215000
4454;"04/05/2022";"Vente";79000;"NIORT";"79";"Maison";109;4;202;345000
4455;"02/06/2022";"Vente";79000;"NIORT";"79";"Maison";55;3;222;170000
4457;"13/05/2022";"Vente";79210;"VAL-DU-MIGNON";"79";"Maison";125;6;579;50000
4458;"16/05/2022";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";63;3;306;77180
4459;"12/05/2022";"Vente";79000;"NIORT";"79";"Appartement";45;2;NA;85000
4464;"25/05/2022";"Vente";79000;"NIORT";"79";"Maison";65;4;449;125000
4466;"17/05/2022";"Vente";79000;"NIORT";"79";"Maison";60;3;50;135000
4467;"13/05/2022";"Vente";79000;"NIORT";"79";"Maison";94;4;356;229000
4468;"11/05/2022";"Vente";79000;"NIORT";"79";"Appartement";38;2;NA;79000
4470;"07/06/2022";"Vente";79270;"LA ROCHENARD";"79";"Maison";149;4;1012;83000
4471;"25/05/2022";"Vente";79000;"NIORT";"79";"Appartement";145;4;NA;3e+05
4473;"09/06/2022";"Vente";79230;"AIFFRES";"79";"Maison";90;5;284;91500
4476;"23/05/2022";"Vente";79000;"NIORT";"79";"Maison";134;5;693;262000
4477;"20/05/2022";"Vente";79000;"BESSINES";"79";"Maison";133;6;1083;330000
4478;"20/05/2022";"Vente";79510;"COULON";"79";"Maison";163;7;205;250000
4479;"13/06/2022";"Vente";79000;"NIORT";"79";"Maison";106;5;544;170000
4481;"30/05/2022";"Vente";79230;"AIFFRES";"79";"Maison";85;4;1260;147000
4483;"30/05/2022";"Vente";79000;"NIORT";"79";"Appartement";67;3;NA;90000
4484;"02/06/2022";"Vente";79000;"NIORT";"79";"Maison";94;2;252;115200
4485;"20/05/2022";"Vente";79410;"ECHIRE";"79";"Maison";84;4;589;195000
4486;"23/05/2022";"Vente";79270;"SANSAIS";"79";"Maison";238;6;1108;390000
4487;"16/05/2022";"Vente";79000;"NIORT";"79";"Maison";48;1;30;28000
4488;"17/05/2022";"Vente";79000;"NIORT";"79";"Maison";40;3;40;40000
4492;"25/05/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";315;6;760;338800
4494;"10/06/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";102;4;639;150000
4496;"10/06/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";74;3;NA;105000
4497;"16/05/2022";"Vente";79000;"NIORT";"79";"Maison";83;4;720;181000
4500;"23/05/2022";"Vente";79000;"NIORT";"79";"Appartement";40;2;NA;81000
4502;"24/05/2022";"Vente";79000;"NIORT";"79";"Maison";90;6;347;140500
4504;"24/05/2022";"Vente";79460;"MAGNE";"79";"Maison";92;4;342;220000
4505;"24/05/2022";"Vente";79000;"NIORT";"79";"Maison";50;2;32;110650
4507;"18/05/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";86;3;167;36000
4510;"25/05/2022";"Vente";79180;"CHAURAY";"79";"Maison";101;5;324;170000
4511;"24/05/2022";"Vente";79230;"AIFFRES";"79";"Maison";87;4;457;167000
4514;"19/05/2022";"Vente";79410;"SAINT-REMY";"79";"Maison";170;5;1507;280000
4516;"30/05/2022";"Vente";79210;"VAL-DU-MIGNON";"79";"Maison";169;6;1028;245000
4517;"19/05/2022";"Vente";79000;"NIORT";"79";"Maison";84;4;NA;145000
4518;"23/05/2022";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";99;5;1015;2e+05
4519;"30/05/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";67;3;NA;50000
4520;"25/05/2022";"Vente";79210;"SAINT-HILAIRE-LA-PALUD";"79";"Maison";135;4;2490;154000
4524;"27/05/2022";"Vente";79270;"LE VANNEAU-IRLEAU";"79";"Maison";163;6;654;102000
4525;"10/06/2022";"Vente";79000;"NIORT";"79";"Appartement";61;3;NA;78000
4529;"17/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";90;4;NA;182165
4530;"08/06/2022";"Vente";79230;"AIFFRES";"79";"Maison";114;5;496;313500
4531;"10/06/2022";"Vente";79260;"LA CRECHE";"79";"Maison";73;3;315;140000
4532;"17/06/2022";"Vente";79270;"FRONTENAY-ROHAN-ROHAN";"79";"Maison";79;4;330;83925
4533;"07/06/2022";"Vente";79000;"NIORT";"79";"Maison";88;5;268;157000
4534;"10/06/2022";"Vente";79360;"GRANZAY-GRIPT";"79";"Maison";72;2;133;173000
4535;"16/06/2022";"Vente";79000;"NIORT";"79";"Appartement";50;2;NA;130000
4543;"14/06/2022";"Vente";79000;"NIORT";"79";"Appartement";68;3;NA;115000
4544;"23/05/2022";"Vente";79000;"NIORT";"79";"Maison";102;5;22;14000
4545;"01/06/2022";"Vente";79000;"NIORT";"79";"Maison";96;6;244;211000
4547;"09/06/2022";"Vente";79000;"NIORT";"79";"Maison";68;4;549;123000
4548;"10/06/2022";"Vente";79410;"SAINT-MAXIRE";"79";"Maison";89;5;1006;206000
4551;"20/06/2022";"Vente";79510;"COULON";"79";"Maison";21;2;174;18500
4553;"20/06/2022";"Vente";79000;"NIORT";"79";"Maison";95;5;642;180000
4554;"23/06/2022";"Vente";79000;"NIORT";"79";"Maison";88;4;108;139000
4555;"15/06/2022";"Vente";79000;"NIORT";"79";"Appartement";65;3;NA;1e+05
4556;"15/06/2022";"Vente";79000;"NIORT";"79";"Maison";136;5;549;282150
4557;"22/06/2022";"Vente";79000;"NIORT";"79";"Maison";204;7;853;456000
4558;"31/05/2022";"Vente";79260;"LA CRECHE";"79";"Maison";81;4;1350;210000
4561;"31/05/2022";"Vente";79180;"CHAURAY";"79";"Appartement";41;2;NA;81000
4563;"31/05/2022";"Vente";79000;"NIORT";"79";"Maison";75;3;171;193000
4565;"03/06/2022";"Vente";79000;"NIORT";"79";"Maison";102;4;462;270000
4567;"03/06/2022";"Vente";79230;"JUSCORPS";"79";"Maison";86;4;525;191000
4570;"17/06/2022";"Vente";79000;"NIORT";"79";"Maison";77;4;137;83625
4571;"17/06/2022";"Vente";79000;"NIORT";"79";"Maison";106;4;838;215000
4572;"20/06/2022";"Vente";79000;"NIORT";"79";"Appartement";47;2;NA;93000
4573;"17/06/2022";"Vente";79000;"NIORT";"79";"Appartement";56;3;NA;107000
4574;"03/06/2022";"Vente";79000;"BESSINES";"79";"Maison";93;4;352;256000
4575;"08/06/2022";"Vente";79000;"NIORT";"79";"Maison";66;4;122;103000
4576;"09/06/2022";"Vente";79000;"NIORT";"79";"Appartement";65;3;NA;90000
4577;"23/06/2022";"Vente";79000;"NIORT";"79";"Maison";77;4;341;111690
4579;"03/06/2022";"Vente";79000;"NIORT";"79";"Appartement";85;3;NA;230000
4580;"31/05/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";101;3;789;230000
4583;"23/06/2022";"Vente";79000;"NIORT";"79";"Appartement";74;3;NA;114000
4585;"21/06/2022";"Vente";79270;"SAINT-SYMPHORIEN";"79";"Maison";76;3;296;180000
4587;"16/06/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";137;3;1655;366950
4590;"23/06/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";72;3;317;145000
4591;"28/06/2022";"Vente";79160;"COULONGES-SUR-L AUTIZE";"79";"Maison";230;9;1496;535000
4593;"01/06/2022";"Vente";79210;"VAL-DU-MIGNON";"79";"Maison";30;2;92;15000
4594;"01/06/2022";"Vente";79000;"NIORT";"79";"Maison";92;4;463;172000
4596;"03/06/2022";"Vente";79000;"NIORT";"79";"Maison";65;2;52;143000
4597;"02/06/2022";"Vente";79000;"NIORT";"79";"Appartement";41;2;NA;102000
4598;"29/06/2022";"Vente";79160;"VILLIERS-EN-PLAINE";"79";"Maison";117;4;560;130000
4599;"24/06/2022";"Vente";79000;"NIORT";"79";"Maison";108;4;1055;177000
4602;"20/05/2022";"Vente";79000;"NIORT";"79";"Maison";78;4;189;135173
4603;"02/06/2022";"Vente";79210;"MAUZE-SUR-LE-MIGNON";"79";"Maison";121;5;810;246000
4604;"09/06/2022";"Vente";79000;"NIORT";"79";"Appartement";67;3;NA;128000
4605;"01/06/2022";"Vente";79360;"BEAUVOIR-SUR-NIORT";"79";"Maison";74;3;NA;72000
4606;"10/06/2022";"Vente";79180;"CHAURAY";"79";"Appartement";64;3;NA;136200
4608;"09/06/2022";"Vente";79180;"CHAURAY";"79";"Maison";162;4;1133;335000
4613;"10/06/2022";"Vente";79000;"NIORT";"79";"Maison";88;4;252;360000
